,FREQ,GRID_ID
0,25,1
1,1,3
2,1,11
3,1,13
4,3,22
5,15,23
6,112,26
7,1,27
8,2,28
9,3,29
10,6,47
11,7,48
12,3,50
13,2,59
14,3,61
15,1,62
16,1,69
17,8,70
18,3,71
19,63,73
20,2,74
21,40,75
22,1,78
23,1,83
24,3,85
25,1,86
26,6,94
27,14,95
28,6,96
29,16,97
30,1,98
31,14,99
32,8,100
33,9,110
34,1,113
35,1,114
36,20,120
37,24,121
38,18,122
39,1,123
40,3,124
41,8,125
42,8,131
43,2,133
44,1,134
45,13,135
46,19,136
47,2,137
48,1,138
49,6,139
50,1,142
51,21,144
52,43,145
53,21,146
54,20,147
55,18,148
56,28,149
57,1,155
58,3,156
59,9,157
60,14,158
61,14,159
62,1,160
63,3,161
64,6,163
65,6,166
66,9,168
67,35,169
68,55,170
69,62,171
70,24,172
71,27,173
72,11,174
73,6,175
74,1,180
75,15,181
76,26,182
77,28,183
78,38,184
79,74,185
80,64,186
81,70,187
82,18,188
83,19,189
84,3,190
85,46,192
86,54,193
87,104,194
88,100,195
89,42,196
90,4,197
91,14,198
92,21,199
93,3,200
94,4,202
95,123,203
96,129,204
97,61,205
98,77,206
99,57,207
100,70,208
101,113,209
102,66,210
103,46,211
104,52,212
105,14,213
106,39,215
107,161,216
108,142,217
109,100,218
110,69,219
111,7,220
112,59,225
113,60,226
114,97,227
115,114,228
116,69,229
117,121,230
118,62,231
119,78,232
120,81,233
121,36,234
122,238,235
123,21,238
124,46,239
125,76,240
126,91,241
127,106,242
128,48,243
129,18,244
130,1,246
131,13,247
132,71,248
133,33,249
134,70,250
135,95,251
136,105,252
137,99,253
138,94,254
139,94,255
140,71,256
141,70,257
142,17,258
143,1,261
144,72,262
145,83,263
146,85,264
147,63,265
148,15,266
149,1,268
150,46,269
151,108,270
152,83,271
153,72,272
154,86,273
155,93,274
156,89,275
157,52,276
158,71,277
159,75,278
160,56,279
161,28,280
162,8,282
163,79,283
164,82,284
165,87,285
166,74,286
167,39,287
168,3,288
169,11,289
170,25,290
171,58,291
172,23,292
173,82,293
174,91,294
175,111,295
176,88,296
177,65,297
178,85,298
179,98,299
180,149,300
181,32,301
182,45,303
183,68,304
184,77,305
185,76,306
186,66,307
187,48,308
188,41,309
189,20,310
190,1,312
191,1,313
192,12,314
193,48,315
194,89,316
195,69,317
196,115,318
197,113,319
198,136,320
199,68,321
200,61,322
201,58,323
202,34,325
203,72,326
204,101,327
205,74,328
206,104,329
207,91,330
208,64,331
209,65,332
210,69,333
211,45,334
212,48,335
213,80,336
214,26,337
215,18,338
216,99,339
217,192,340
218,474,341
219,590,342
220,298,343
221,227,344
222,81,345
223,105,346
224,39,348
225,90,349
226,81,350
227,92,351
228,112,352
229,79,353
230,87,354
231,122,355
232,92,356
233,101,357
234,106,358
235,93,359
236,69,360
237,44,361
238,53,362
239,98,363
240,192,364
241,210,365
242,278,366
243,51,367
244,23,368
245,55,369
246,42,370
247,26,371
248,133,372
249,102,373
250,151,374
251,110,375
252,137,376
253,50,377
254,43,378
255,69,379
256,77,380
257,50,381
258,47,382
259,44,383
260,10,385
261,61,386
262,34,387
263,34,388
264,97,389
265,27,390
266,79,391
267,71,392
268,79,393
269,83,396
270,90,397
271,79,398
272,101,399
273,89,400
274,94,401
275,39,402
276,76,403
277,100,404
278,69,405
279,66,406
280,37,407
281,18,408
282,44,409
283,60,410
284,110,411
285,69,412
286,59,413
287,32,414
288,61,415
289,83,416
290,108,417
291,58,418
292,5,419
293,5,421
294,5,422
295,5,423
296,29,424
297,63,425
298,80,426
299,53,427
300,97,428
301,97,429
302,62,430
303,42,431
304,63,432
305,82,433
306,33,434
307,13,435
308,14,437
309,59,438
310,78,439
311,64,440
312,62,441
313,104,442
314,153,443
315,62,444
316,58,445
317,88,446
318,129,447
319,65,448
320,47,449
321,6,450
322,1,451
323,1,453
324,16,454
325,33,455
326,45,456
327,4,457
328,50,458
329,49,459
330,78,460
331,63,461
332,101,462
333,113,463
334,51,464
335,36,465
336,30,466
337,63,467
338,50,468
339,13,469
340,21,470
341,31,471
342,95,472
343,99,473
344,56,474
345,51,475
346,86,476
347,203,477
348,45,478
349,39,479
350,33,480
351,39,481
352,90,482
353,51,483
354,83,484
355,58,485
356,3,486
357,19,492
358,26,493
359,9,494
360,1,495
361,48,496
362,37,497
363,59,498
364,42,499
365,36,500
366,90,501
367,29,502
368,19,503
369,5,504
370,3,505
371,4,506
372,3,507
373,17,509
374,78,510
375,66,511
376,145,512
377,68,513
378,168,514
379,168,515
380,93,516
381,52,517
382,47,518
383,36,519
384,75,520
385,94,521
386,117,522
387,95,523
388,41,524
389,41,525
390,16,526
391,2,527
392,4,528
393,6,529
394,8,534
395,11,535
396,16,536
397,30,537
398,57,538
399,27,539
400,1,541
401,6,542
402,4,543
403,2,544
404,2,545
405,2,546
406,45,547
407,65,548
408,111,549
409,103,550
410,84,551
411,284,552
412,206,553
413,65,554
414,41,555
415,54,556
416,39,557
417,95,558
418,79,559
419,97,560
420,36,561
421,95,562
422,56,563
423,65,564
424,39,565
425,11,566
426,1,567
427,11,568
428,3,569
429,8,572
430,14,573
431,11,574
432,45,575
433,36,576
434,37,577
435,19,578
436,2,579
437,2,580
438,3,582
439,2,583
440,4,584
441,34,585
442,77,586
443,78,587
444,67,588
445,55,589
446,122,590
447,126,591
448,64,592
449,87,593
450,85,594
451,98,595
452,124,596
453,109,597
454,133,598
455,116,599
456,81,600
457,75,601
458,110,602
459,50,603
460,140,604
461,13,605
462,2,606
463,1,607
464,2,608
465,1,612
466,3,613
467,13,614
468,2,615
469,1,616
470,13,617
471,2,618
472,1,620
473,2,621
474,3,622
475,22,623
476,73,624
477,102,625
478,101,626
479,96,627
480,49,628
481,79,629
482,152,630
483,104,631
484,115,632
485,72,633
486,93,634
487,118,635
488,135,636
489,182,637
490,145,638
491,76,639
492,57,640
493,68,641
494,143,642
495,55,643
496,1,644
497,18,645
498,12,646
499,3,650
500,17,651
501,15,652
502,9,653
503,25,654
